Compound,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78
g/L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Copper (II) sulphate pentahydrate,0.00010472183699767079,5.44903818770517e-05,0.00013924911633545915,0.000431140566547608,5.5905737062382415e-05,0.000271465331899822,0.00013859058706372582,0.00033050917027991,4.139402346696067e-05,0.00040562867787057163,6.821694623700962e-05,0.00028250263081797426,0.0001225025496971114,3.922686115486277e-05,0.00012787551280458157,0.00022217559877072294,7.860283051761257e-05,0.00042436617171225067,0.00023073620177134325,5.845296110194897e-05,0.00039901454342847415,0.0003791763807807457,0.0001766239158873569,0.0002933803509101848,0.00011110758220365365,6.939522042803235e-05,9.970752845799724e-05,4.8257319592364626e-05,0.00018425608493740178,8.44442564150737e-05,0.00019873815221719757,0.0002803506527745677,0.00021176954385930744,4.992355588763863e-05,0.00010431192357731273,0.00020442931860973785,0.00037057913553808434,0.00019569353875909646,0.0003515286993625211,6.556162041251531e-05,0.00024440071604845635,7.768479757243157e-05,4.554821035067835e-05,0.00030628392178989297,4.39734303149396e-05,0.00015141388434596924,0.00017162101316037023,7.399620216378092e-05,0.00018728997701431888,3.722954142955321e-05,4.513511934718668e-05,8.280534661503152e-05,6.436744675742587e-05,0.0001145640053394107,0.0002500933629033957,5.183023115538846e-05,0.0001456417514101833,3.858460394082751e-05,5.039784688367461e-05,7.332841715755797e-05,0.00026227263518260646,9.20137470369204e-05,0.00035560022119284114,0.0001318773778706935,0.0003225168195455654,0.0003163038012664462,0.00015666878949457898,0.00016515875946009103,0.00012447323118124158,6.242189786931951e-05,0.00011570227384627233,4.130811906446633e-05,9.763524661680739e-05,0.00023312300944650715,0.00016028500391390105,5.918705916247751e-05,9.087416900549353e-05,8.67586833098009e-05
Manganese chloride tetrahydrate,0.0003511896546589464,0.00018273608391783223,0.0004669785259639883,0.0014458503690943146,0.00018748254476121012,0.0009103718851293184,0.0004647701167710901,0.0011083782017192666,0.00013881682391256715,0.001360295038601161,0.00022876876951075827,0.0009473859913230407,0.0004108181192803737,0.00013154914215873705,0.00042883660627702255,0.0007450764238185611,0.00026359832577526335,0.001423132114230189,0.0007737848126097838,0.00019602478157103802,0.0013381142245782011,0.0012715860038263178,0.000592316691564256,0.000983864942343973,0.00037260455453010723,0.0002327201679783771,0.0003343739327914955,0.00016183321347567527,0.0006179115330016114,0.00028318782499012966,0.0006664778335226025,0.0009401692307355197,0.0007101792243855208,0.00016742101603810068,0.0003498149905328882,0.00068556343035039,0.001242754733535904,0.0006562675776717211,0.0011788681909254343,0.00021986400823033995,0.0008196094103025107,0.00026051965868703397,0.00015274808695099168,0.001027137680208691,0.00014746698729908977,0.0005077736533137143,0.0005755392196314268,0.00024814977877584234,0.0006280858341914266,0.00012485103558722445,0.0001513627666489594,0.00027769166312747274,0.00021585929015474864,0.00038419583369596745,0.0008386999719312755,0.0001738151421155753,0.0004884165313372418,0.0001293953020842524,0.00016901157342212963,0.00024591033003768567,0.000879543740035042,0.00030857247134129657,0.0011925222327806996,0.00044225705086481956,0.001081575473894982,0.0010607398219775876,0.0005253962273375716,0.0005538677448904897,0.0004174268932447748,0.00020933479954491176,0.000388013071201482,0.00013852873941834327,0.0003274244372036776,0.0007817890855218104,0.0005375233741629532,0.00019848661428667857,0.00030475084228295,0.00029094936551687483
Cobalt (II) chloride hexahydrate,0.00038185185829882177,0.0003376097502704751,0.0011353153738755757,0.0010381565990381957,0.0004699218243222122,0.00027556993955413586,0.0002792286674305959,0.0005745624581637984,0.0009537351276259182,0.0006849911403901895,0.0006155364649892185,0.0007667366724898159,0.00038652714444799936,0.0005558024867541497,0.0008953615146644992,0.00043913496087736166,0.0008409894421576418,0.0005348537318575216,0.0012753360861925377,0.0004970935102619604,0.000578454582352501,0.0007419634765706126,0.0004087551132304491,0.0005235933939091448,0.00028992813467517857,0.000710155432542956,0.0004082160348979094,0.00045279480479674706,0.0007927726695030753,0.0005100107771632873,0.00031832170115878836,0.0012129310086507765,0.0006383146577178946,0.0006098441852676043,0.00034896180010955517,0.00034260392891115175,0.0011914192798554136,0.0005449203807491719,0.0006929696368214687,0.00110700420845689,0.0009554600635016132,0.0009045985531065793,0.00039826920537071867,0.0002885271643347295,0.0004864155559024794,0.0003111089276234388,0.00036260256150366947,0.0012391264510837779,0.0003284050618828894,0.0009197177414223478,0.0011678325062206493,0.0007987388547620446,0.0004332657624077652,0.0002979578324976561,0.0009856648315761224,0.0012527866192810343,0.0006676891860187598,0.0008703339766118272,0.00032667837790618416,0.0007212718289293133,0.0010849016470265342,0.0007560416657949922,0.0009962411890343124,0.0005107009726753941,0.00047090960317293335,0.0005989933430504044,0.0003596030356254332,0.0003746835393658057,0.0008202133220593527,0.0008599947614729655,0.00044329157388106854,0.0006340609391220202,0.00030548102705309265,0.0006526880064512021,0.0010247463976985702,0.00041767302110077285,0.0012961627211608472,0.001073326538349457
Iron sulphate heptahydrate,0.003818518582988222,0.0033760975027047543,0.01135315373875577,0.010381565990381968,0.004699218243222126,0.0027556993955413613,0.0027922866743059615,0.00574562458163799,0.009537351276259192,0.006849911403901903,0.006155364649892191,0.007667366724898166,0.0038652714444799975,0.005558024867541502,0.008953615146645002,0.004391349608773621,0.008409894421576426,0.005348537318575221,0.01275336086192539,0.004970935102619608,0.005784545823525016,0.0074196347657061335,0.0040875511323044955,0.005235933939091453,0.002899281346751789,0.0071015543254295665,0.004082160348979098,0.004527948047967475,0.007927726695030762,0.005100107771632879,0.0031832170115878864,0.012129310086507777,0.006383146577178952,0.006098441852676049,0.0034896180010955554,0.003426039289111521,0.011914192798554147,0.005449203807491725,0.006929696368214694,0.011070042084568911,0.009554600635016142,0.009045985531065802,0.003982692053707191,0.0028852716433472978,0.004864155559024799,0.0031110892762343917,0.0036260256150366984,0.012391264510837791,0.0032840506188288976,0.009197177414223488,0.011678325062206504,0.007987388547620454,0.004332657624077656,0.002979578324976564,0.009856648315761234,0.012527866192810357,0.006676891860187604,0.00870333976611828,0.003266783779061845,0.0072127182892931406,0.010849016470265354,0.00756041665794993,0.009962411890343135,0.005107009726753946,0.004709096031729338,0.00598993343050405,0.003596030356254336,0.003746835393658061,0.008202133220593535,0.008599947614729663,0.00443291573881069,0.006340609391220209,0.0030548102705309295,0.006526880064512028,0.010247463976985713,0.004176730211007733,0.012961627211608484,0.01073326538349458
Potassium iodide,6.364197638313706e-05,5.6268291711745875e-05,0.0001892192289792627,0.00017302609983969937,7.832030405370207e-05,4.592832325902271e-05,4.653811123843272e-05,9.576040969396645e-05,0.00015895585460431978,0.00011416519006503164,0.00010258941083153646,0.00012778944541496937,6.442119074133326e-05,9.263374779235833e-05,0.00014922691911074994,7.318916014622699e-05,0.0001401649070262737,8.914228864292022e-05,0.00021255601436542308,8.284891837699352e-05,9.640909705875022e-05,0.00012366057942843548,6.812585220507482e-05,8.726556565152409e-05,4.8321355779196455e-05,0.00011835923875715938,6.803600581631826e-05,7.546580079945788e-05,0.00013212877825051264,8.500179619388126e-05,5.3053616859798134e-05,0.00020215516810846286,0.00010638577628631582,0.00010164069754460077,5.8160300018259163e-05,5.710065481852538e-05,0.00019856987997590234,9.082006345819528e-05,0.00011549493947024485,0.00018450070140948178,0.0001592433439169356,0.0001507664255177633,6.637820089511988e-05,4.808786072245499e-05,8.106925931708002e-05,5.1851487937239836e-05,6.043376025061167e-05,0.00020652107518062974,5.473417698048154e-05,0.00015328629023705803,0.00019463875103677497,0.00013312314246034083,7.221096040129423e-05,4.9659638749609425e-05,0.0001642774719293538,0.00020879776988017248,0.00011128153100312669,0.00014505566276863793,5.444639631769739e-05,0.00012021197148821895,0.00018081694117108913,0.00012600694429916543,0.00016604019817238551,8.511682877923249e-05,7.84849338621556e-05,9.983222384173423e-05,5.993383927090557e-05,6.244725656096759e-05,0.0001367022203432255,0.0001433324602454943,7.388192898017814e-05,0.00010567682318700342,5.0913504508848745e-05,0.00010878133440853374,0.00017079106628309514,6.961217018346225e-05,0.00021602712019347462,0.00017888775639157627
Magnesium sulphate heptahydrate,0.22929647343200582,0.2399208393263976,1.071697500307593,0.16487174721681405,0.05917481549949489,0.075293421373319,0.06732232269195376,0.07288383646953442,0.02809305571818591,0.31889104406549496,0.204830497460094,0.1757119498768997,1.122300174066817,0.5010504509419769,0.10603002989016448,0.8007235961377405,0.03725185704089485,0.21785905312064427,0.045537195515399954,0.2655130148618732,0.5897440630754236,0.38403655552965066,0.14019713878988396,0.9866098139289948,1.0495361845998723,0.11743296370530662,0.15985263718423898,0.7928951119961603,0.04352568806568192,0.029463269348722013,0.34608263459973326,0.05561900341541413,0.46420327781569654,0.27509961636978403,0.6343033092078697,0.033054058275741365,0.5487531818692615,0.11299862398624505,0.08290943925705073,0.05638073546902472,0.6983597731911622,0.03820550782765859,0.9054036287674107,0.030036680115644688,0.13316153874034545,0.03152484793065498,0.12854217343756383,0.4410685113571819,0.06796638542182422,0.36495966914924527,0.17807403309077172,0.04161944996344817,0.25126267857494694,0.12604397182703297,0.09734787672658386,0.30897570781187406,0.9406946907892995,0.42097732830109824,0.6194905474360366,0.10273418292085389,0.05185550241024733,0.6739744762149051,0.04881966698908696,0.5263446064106391,0.06345542553664023,0.08819290005182298,0.7319138803046819,0.035873505750063685,0.21074534201974543,0.08107451797253606,0.15277711382048906,0.18896586834491005,0.09424487399567526,0.48660584767926446,0.04679210126655491,0.28973853514769754,0.38721417819116877,0.8565705148570695
Sodium molybdate dihydrate,0.0003668743574912093,0.00038387334292223614,0.0017147160004921495,0.00026379479554690274,9.467970479919182e-05,0.00012046947419731041,0.00010771571630712613,0.00011661413835125509,4.4948889149097507e-05,0.000510225670504792,0.0003277287959361504,0.0002811391198030395,0.0017956802785069083,0.0008016807215071635,0.00016964804782426319,0.001281157753820386,5.960297126543182e-05,0.00034857448499303086,7.285951282463993e-05,0.0004248208237789975,0.0009435905009206778,0.0006144584888474411,0.00022431542206381434,0.0015785757022863925,0.0016792578953597958,0.00018789274192849078,0.00025576421949478266,0.001268632179193858,6.964110090509107e-05,4.714123095795522e-05,0.0005537322153595732,8.89904054646627e-05,0.0007427252445051145,0.0004401593861916545,0.0010148852947325926,5.2886493241186184e-05,0.0008780050909908185,0.0001807977983779921,0.00013265510281128132,9.020917675043966e-05,0.00111737563710586,6.112881252425375e-05,0.001448645806027857,4.805868818503155e-05,0.0002130584619845527,5.043975668904802e-05,0.00020566747750010235,0.000705709618171491,0.00010874621667491875,0.0005839354706387927,0.00028491845294523476,6.659111994151707e-05,0.0004020202857199151,0.00020167035492325275,0.00015575660276253417,0.000494361132498999,0.0015051115052628799,0.0006735637252817579,0.0009911848758976597,0.00016437469267336624,8.296880385639572e-05,0.0010783591619438488,7.811146718253922e-05,0.0008421513702570225,0.00010152868085862436,0.00014110864008291677,0.001171062208487491,5.739760920010196e-05,0.0003371925472315927,0.00012971922875605773,0.00024444338211278277,0.0003023453893518561,0.00015079179839308057,0.0007785693562868232,7.486736202648786e-05,0.00046358165623631607,0.0006195426851058704,0.001370512823771312
Zinc sulphate heptahydrate,0.00309550239133208,0.003238931330906369,0.014467916254152504,0.0022257685874269885,0.0007988600092431814,0.001016461188539807,0.0009088513563413753,0.0009839317923387152,0.0003792562521955096,0.004305029094884184,0.0027652117157112703,0.0023721113233381467,0.015151052349902031,0.006764181087716688,0.0014314054035172211,0.010809768547859496,0.0005029000700520802,0.0029410972171286993,0.0006147521394578996,0.0035844257006352855,0.007961544851518223,0.0051844934996502865,0.0018926613736634343,0.013319232488041429,0.014168738492098275,0.0015853450100216384,0.0021580106019872254,0.010704084011948164,0.0005875967888867062,0.00039775413620774734,0.004672115567096401,0.0007508565461080903,0.006266744250511907,0.0037138448209920864,0.008563094674306236,0.0004462297867225086,0.0074081679552350345,0.001525481423814309,0.0011192774299701844,0.0007611399288318334,0.009427856938080688,0.0005157743556733912,0.012222948988360044,0.00040549518156120305,0.0017976807729946644,0.00042558544706384197,0.0017353193414071106,0.005954424903321958,0.0009175462031946273,0.0049269555335148115,0.0024039994467254197,0.0005618625745065506,0.0033920461607617855,0.001701593619664946,0.0013141963358088828,0.004171172055460298,0.012699378325655543,0.005683193932064823,0.00836312239038649,0.0013869114694315282,0.0007000492825383393,0.009098655428901219,0.0006590655043526737,0.007105652186543631,0.0008566482447446434,0.0011906041506996108,0.00988083738411321,0.00048429232762585954,0.0028450621172665647,0.0010945059926292374,0.002062491036576601,0.002551039222656287,0.0012723057989416154,0.006569178943670074,0.0006316933670984917,0.0039114702244939185,0.005227391405580779,0.011563701950570437
Nicotinic acid,0.0004823708097159416,0.0004684533385556145,0.0006303970633182738,0.0005658612348421212,0.0006773952852113748,0.0012647760044720514,0.0016371692181531609,0.0005953383993994361,0.0004880719077220473,0.001735066327500517,0.0011714526215385707,0.0019381733627355036,0.0015759502845210055,0.000495481634928057,0.001960829569933705,0.0008998632255079434,0.0008463786162129302,0.000543008801223278,0.002141877086715977,0.0016907447214209073,0.0008157705855270824,0.0005229601623911018,0.0005529750926923076,0.0016099369599541545,0.0014562608893842243,0.0009328060262886182,0.0020699404161753985,0.0007298568358598653,0.0017789436720675946,0.0005711187121437764,0.0009825750708099806,0.0007717257339800684,0.001905584931118954,0.0012282451599679508,0.002076208212759685,0.0006098855224913738,0.0010578467962609698,0.0006521618499532235,0.00058664910774741,0.00082078937091544,0.0008533587222391406,0.0014239653647388812,0.0010747571776413259,0.00153022161494913,0.0007192540089836133,0.0005109485275206615,0.00045826186547179624,0.0010261679856221591,0.0007416778439828568,0.001316529576312724,0.0018255592057646068,0.001853514162429997,0.0006825085442713864,0.0017083448978296558,0.0014100484363430577,0.001363151699048094,0.0010912102229438162,0.0005307875554568679,0.0011337357270662096,0.0011138207684447856,0.002167080494633051,0.0009180025223904287,0.001178454169753266,0.001991571802936614,0.0006198349883733643,0.0007060039222728381,0.001352722511836515,0.0009687772481712203,0.0010032323262863154,0.0007656843882517964,0.0009495723488207573,0.0012155805195423913,0.001290199572167767,0.0007857989600248994,0.0006620944319288677,0.0008828441286235921,0.001472801956885329,0.0015170384983354758
Boric acid,0.0004823708097159416,0.0004684533385556145,0.0006303970633182738,0.0005658612348421212,0.0006773952852113748,0.0012647760044720514,0.0016371692181531609,0.0005953383993994361,0.0004880719077220473,0.001735066327500517,0.0011714526215385707,0.0019381733627355036,0.0015759502845210055,0.000495481634928057,0.001960829569933705,0.0008998632255079434,0.0008463786162129302,0.000543008801223278,0.002141877086715977,0.0016907447214209073,0.0008157705855270824,0.0005229601623911018,0.0005529750926923076,0.0016099369599541545,0.0014562608893842243,0.0009328060262886182,0.0020699404161753985,0.0007298568358598653,0.0017789436720675946,0.0005711187121437764,0.0009825750708099806,0.0007717257339800684,0.001905584931118954,0.0012282451599679508,0.002076208212759685,0.0006098855224913738,0.0010578467962609698,0.0006521618499532235,0.00058664910774741,0.00082078937091544,0.0008533587222391406,0.0014239653647388812,0.0010747571776413259,0.00153022161494913,0.0007192540089836133,0.0005109485275206615,0.00045826186547179624,0.0010261679856221591,0.0007416778439828568,0.001316529576312724,0.0018255592057646068,0.001853514162429997,0.0006825085442713864,0.0017083448978296558,0.0014100484363430577,0.001363151699048094,0.0010912102229438162,0.0005307875554568679,0.0011337357270662096,0.0011138207684447856,0.002167080494633051,0.0009180025223904287,0.001178454169753266,0.001991571802936614,0.0006198349883733643,0.0007060039222728381,0.001352722511836515,0.0009687772481712203,0.0010032323262863154,0.0007656843882517964,0.0009495723488207573,0.0012155805195423913,0.001290199572167767,0.0007857989600248994,0.0006620944319288677,0.0008828441286235921,0.001472801956885329,0.0015170384983354758
Calcium pantothenate,0.0004823708097159416,0.0004684533385556145,0.0006303970633182738,0.0005658612348421212,0.0006773952852113748,0.0012647760044720514,0.0016371692181531609,0.0005953383993994361,0.0004880719077220473,0.001735066327500517,0.0011714526215385707,0.0019381733627355036,0.0015759502845210055,0.000495481634928057,0.001960829569933705,0.0008998632255079434,0.0008463786162129302,0.000543008801223278,0.002141877086715977,0.0016907447214209073,0.0008157705855270824,0.0005229601623911018,0.0005529750926923076,0.0016099369599541545,0.0014562608893842243,0.0009328060262886182,0.0020699404161753985,0.0007298568358598653,0.0017789436720675946,0.0005711187121437764,0.0009825750708099806,0.0007717257339800684,0.001905584931118954,0.0012282451599679508,0.002076208212759685,0.0006098855224913738,0.0010578467962609698,0.0006521618499532235,0.00058664910774741,0.00082078937091544,0.0008533587222391406,0.0014239653647388812,0.0010747571776413259,0.00153022161494913,0.0007192540089836133,0.0005109485275206615,0.00045826186547179624,0.0010261679856221591,0.0007416778439828568,0.001316529576312724,0.0018255592057646068,0.001853514162429997,0.0006825085442713864,0.0017083448978296558,0.0014100484363430577,0.001363151699048094,0.0010912102229438162,0.0005307875554568679,0.0011337357270662096,0.0011138207684447856,0.002167080494633051,0.0009180025223904287,0.001178454169753266,0.001991571802936614,0.0006198349883733643,0.0007060039222728381,0.001352722511836515,0.0009687772481712203,0.0010032323262863154,0.0007656843882517964,0.0009495723488207573,0.0012155805195423913,0.001290199572167767,0.0007857989600248994,0.0006620944319288677,0.0008828441286235921,0.001472801956885329,0.0015170384983354758
Biotin,7.5983185287320584e-06,1.6412342799756176e-05,8.380760435101042e-06,4.649275425900001e-05,1.0349927101693948e-05,6.0045023563933606e-05,3.879241883254677e-05,6.445892812176869e-05,6.16657589089494e-05,7.097195879282134e-05,1.922523291787179e-05,1.881751767377541e-05,2.4165679289715453e-05,9.176730009908193e-06,1.207916372226465e-05,8.115643955441111e-06,1.1596587113672509e-05,1.708028543557311e-05,7.761111613623625e-05,1.3402155627156835e-05,1.4028312155003806e-05,9.809777384292805e-06,8.869808832711986e-06,1.0220277619491645e-05,4.054307660231834e-05,7.560647070364583e-05,1.8325845658217123e-05,1.591845805689755e-05,1.3930065139090799e-05,6.923448823015236e-05,1.0766536861322498e-05,3.101999801724029e-05,4.907663699844542e-05,2.240260420140993e-05,5.4027087505562105e-05,2.6324659978641972e-05,3.153251772343473e-05,1.9728633416049658e-05,2.7968765312364402e-05,4.260608623615226e-05,9.551462074827617e-06,3.730671789973241e-05,3.381100865808176e-05,2.980016845230503e-05,1.4707383093072188e-05,6.286754443812432e-05,1.7854700171767945e-05,3.5222548231759105e-05,1.1765319877968592e-05,3.988905343513555e-05,2.0574322462449426e-05,2.7529905893632433e-05,5.03614104291918e-05,4.5448465916468935e-05,8.070991662736245e-05,2.2191608856023394e-05,7.495788598289537e-06,2.1292699974780377e-05,6.82798513360546e-05,5.821797508151196e-05,4.811787512096824e-05,3.617647755111864e-05,3.296210389528334e-05,5.279900679782343e-05,1.2485460734168299e-05,1.3085021795590034e-05,1.525619964546765e-05,7.958501049164065e-06,2.4752216669530573e-05,5.653072348342968e-05,1.1050478709205428e-05,2.9218028432432336e-05,7.283940447984737e-05,2.3235289592652088e-05,8.655406914943732e-06,2.529787328803032e-05,4.312453302190038e-05,1.5834976400320457e-05
Pyridoxine,0.0003694332861943642,0.0007979746718612652,0.00040747592465878674,0.0022604963091742824,0.0005032175956552005,0.002919413063687878,0.0018861029206059551,0.0031340188688516427,0.0029982138644566838,0.003450685025290491,0.0009347385145600928,0.0009149152363060311,0.0011749449933376815,0.00044617628377374035,0.0005872937718419963,0.0003945858553711291,0.000563830704101603,0.0008304503099917388,0.0037734835109902616,0.0006516181674546163,0.0006820621483011472,0.00047695530033526994,0.00043125365336999,0.0004969139859707317,0.001971220601635361,0.003676016848199542,0.00089100994624078,0.0007739617981095817,0.0006772853390886504,0.003366208511545297,0.0005234733288122445,0.0015082047115974285,0.002386125721519216,0.0010892235773142314,0.0026268186053554324,0.001279915498025563,0.0015331236247204875,0.0009592140481417009,0.0013598525569932824,0.00207152495523622,0.00046439590666294875,0.00181386754697215,0.0016439047653594003,0.0014488961102184516,0.0007150788489384064,0.003056645157599384,0.0008681026642314254,0.001712534384047419,0.0005720345585947842,0.001939421733637663,0.0010003317878532762,0.0013385150365107666,0.0024485919196314773,0.0022097225922450866,0.003924148430389014,0.001078964899223401,0.00036444823996427666,0.001035259589853812,0.00331979368389951,0.0028305812356531476,0.002339510335531522,0.001758914809126407,0.0016026306762302342,0.0025671088301128975,0.0006070480950795564,0.0006361989937103058,0.0007417625292424954,0.0003869455044107766,0.0012034626753592457,0.002748546388053745,0.0005372786950330517,0.0014205922295962333,0.003541480981571972,0.0011297090741105816,0.00042082934636733033,0.0012299927184133508,0.002096732045338008,0.0007699028865741409
Calcium chloride dihydrate,0.10406010716681982,0.07349246047504958,0.1140233696733166,0.025004083417254557,0.06763883491080508,0.04978296261272716,0.029296600502646805,0.042315792923066,0.023991789341549056,0.026070723008283853,0.006340789231513271,0.040498451511154485,0.021567273553227035,0.05708622718947595,0.07431013008591895,0.04308474491445109,0.04553480836511454,0.1302418449660671,0.06664195045945168,0.01193194652032053,0.011451322215429072,0.016113095849658494,0.01871309557979272,0.013490617741130065,0.03607816920837416,0.04637632302057113,0.014836366398981072,0.09710066064367018,0.14553037752934422,0.02305251482705212,0.037562895991360576,0.0067281682764312655,0.007530313716506205,0.019540493758708453,0.12151858455075842,0.0342892925838974,0.0548558000840547,0.0120338761892862,0.15464493361442824,0.09112659564245786,0.017196996835247797,0.022118107764567303,0.16069933487873975,0.01754694028753801,0.01091136581419165,0.020060463634098774,0.06119475703767808,0.014494427873676299,0.051360077117414665,0.03171392488139974,0.030875923527118907,0.01599904936337781,0.1420921920506891,0.008090983942457865,0.05301810728790457,0.11132855324350549,0.08307017084237174,0.008988127362228102,0.028305091942026607,0.009818531847696974,0.09074737921825429,0.06367623004041417,0.027516664426173607,0.13307894413716456,0.12711788943556349,0.00944148518013818,0.008622403950364219,0.08376661582980965,0.1005775269201566,0.008463079196916327,0.07966580346419416,0.03475689562497547,0.007093054429485996,0.010334038550926013,0.006605979902064994,0.012897695364467157,0.013930970074521846,0.007278196445317809
Inositol,0.00014867797731893474,0.006171320239938289,0.00225942479245032,0.02312542078424131,0.0007469104181999271,0.021109627573927148,0.0015120583672413954,8.922157652733518e-05,0.00043024792538871653,0.0029038191545525814,1.8814769927676887e-05,0.00032011622363199515,3.1581016687512805e-06,0.00011690303870653184,1.1660893666956055e-05,2.234610484679999e-06,0.003950347425481604,0.014004279939787104,0.0008751299054976365,0.00020164461659187043,7.520251574810775e-06,0.002674937226302269,0.00503615886420128,1.2819319265309364e-05,0.01032211791351218,0.000857329095564061,0.001361291443768179,8.898700828555603e-06,0.00046336746424544017,0.00028226271559435106,0.01676209269336361,0.0010575040337678294,2.945396273567482e-06,0.029010215313036047,0.004539395768961262,2.0000964358532773e-06,5.310659308144289e-06,0.03489208349554018,2.83490693585805e-05,0.00010726017960213541,2.2001278037081404e-05,4.543937647679019e-06,7.615687732741167e-05,0.00026681252003317983,2.6036269410166715e-05,0.0016573478565499828,1.0026132361686682e-05,0.0002135562406205538,0.003460546968152132,2.5826163615225427e-06,6.60299512715989e-05,0.012925981098187852,0.03957894889207363,4.8623352619367575e-05,6.852238502124467e-06,0.006875293581661278,0.0006355660034624832,0.02669769305217918,0.0019462699638909775,0.0100195794900495,6.864478759303048e-05,0.008477179004403783,3.167007306963548e-05,1.6805571021315948e-05,3.869976467838859e-05,3.819393047611034e-06,4.051159470098123e-05,0.00017908647754554454,0.00014202719083598452,5.825440684659734e-06,5.676914804730357e-05,4.180823710188615e-06,0.0005742985680307492,0.0058540587197616996,1.6058701397299268e-05,0.00038741847960048833,0.018665902930835643,0.0012241073066862726
Thiamine,0.00024024172781696474,0.001167983661623166,0.0007646435110835988,0.00012607689478178185,0.0001425089279922763,0.00113560165429626,0.00018567038400651463,0.0006278396927362024,0.0001133124369492896,0.0004057711543489287,0.0016814715225749236,0.0014284112550846982,0.00010456784543325752,0.0004639815770411482,0.0008807151320683993,0.00013156392137715506,0.0006800997897552556,0.0002611052413993038,0.00013770500170132868,0.0003167966104874733,0.00044933501640203943,0.00016231013547705642,0.0007147071651955029,0.0017268708734068216,0.00020533794147687944,0.000345309025591166,0.0002000040993094529,0.00019201142116726137,0.0008060831897389238,0.00039285924517105193,0.0003717067046768216,0.00010707611394493006,0.0015314662798709552,9.66180042536518e-05,0.0012805418685088315,0.0011150250231471014,0.0005116795696423121,0.00023594405023770714,0.001613521845411895,0.0005319636803617844,0.00011764765382641726,0.00017734913814234174,0.0005759511852313839,0.0002734993307449083,0.0018212771360997478,0.0004822337112687769,0.0010521930210537875,0.0008395844464374858,9.189567167514469e-05,0.0008908744205271898,0.0006032608987037236,0.0006644909146091329,0.00028216370773248285,0.0007507128307543252,0.00030220265696579904,0.0004234821311518961,0.0014855294437266643,0.0003336462506424689,0.000433242462628026,0.00014970858079872888,0.0005426028638243638,0.000970144009547368,0.00010041026378809728,0.0012356821466972475,0.00012205444889395688,0.0003558291296556542,0.0013955446092432365,0.00015733105270907796,0.00025581077958091006,0.0013402017656367568,0.0006185560652675969,0.00021996213673333256,0.00022310249390759384,0.00017385805533987972,0.00029211587936612497,0.0009275987720337817,0.0010322443738510134,0.00015104072121560388
para-aminobenzoic acid,0.00011895640376157416,9.589396813711935e-05,3.1135179264275386e-05,2.843466439459156e-05,6.825645553976889e-05,7.945081744255931e-05,9.180150969508339e-05,7.682044410737646e-05,5.310641668686001e-05,4.540628231277196e-05,5.44549267671505e-05,0.00011310517142546407,0.00010735786509703002,3.7199644044447894e-05,4.429195239688765e-05,0.00018719235964505707,4.728578222276463e-05,3.6056434380665364e-05,0.00016293045257332226,0.00020876703160265092,3.8947945408485715e-05,0.00011256284572258202,0.00013634944977138874,0.00017361743412514308,9.63186013837233e-05,3.313870832825915e-05,6.134863860325086e-05,3.5311854297735446e-05,9.863774905607338e-05,0.0001662040544879532,0.00018129436681974304,2.903367878706351e-05,0.0001282552163567595,5.996892734971591e-05,8.97072912230792e-05,0.0001039370552654873,3.984604358169101e-05,4.23732788749944e-05,0.0002150418462105729,8.632974804887911e-05,0.00019303144368952726,3.794631057423858e-05,0.00013561429471133855,0.00010518088033188357,5.019264570100913e-05,0.0002036303709426931,4.081233092356835e-05,3.1695811094376003e-05,7.003213646154437e-05,7.958157164981317e-05,0.0001997743759370302,5.655716683759853e-05,0.0001406964042803709,6.306295696923728e-05,8.414567793264091e-05,5.5101753832600156e-05,0.00015313491452226524,0.00013228066704223224,3.003165470088213e-05,5.067159566802915e-05,0.00014655747690496594,6.471823936041656e-05,2.7369001173105238e-05,3.268453862347869e-05,4.311077713049594e-05,7.425188758911354e-05,5.8911587831159616e-05,0.0001163879738137286,6.59817159218641e-05,4.8600377235337534e-05,0.00014915528128467295,3.4491560050696525e-05,0.00015844976422573764,0.00012417992749532832,8.296712403359881e-05,0.00016863787251160088,0.00019028998828138306,7.299143736758598e-05
