Identifier,μ_max,t_D,λ,∆Y,y_max,t(μ_max),GrowthRate
A1_96_flo_media1,0.005,150.869,651.946,10.699,10.61,915.5,0.3
A2_96_flo_media1,0.004,156.756,615.715,11.202,11.13,885.5,0.24
A3_96_flo_media1,0.004,154.509,505.987,7.981,7.875,795.5,0.24
A4_96_flo_media2,0.005,132.971,527.391,10.115,10.024,825.5,0.3
A5_96_flo_media2,0.005,135.753,497.505,9.758,9.653,825.5,0.3
A6_96_flo_media2,0.006,123.663,387.263,10.395,10.165,615.5,0.36
D4_96_flo_media2,0.006,117.796,397.101,10.628,10.528,675.5,0.36
D5_96_flo_media2,0.006,117.796,397.101,10.628,10.528,675.5,0.36
A7_96_flo_media3,0.005,134.666,456.351,9.671,9.509,735.5,0.3
A8_96_flo_media3,0.005,128.642,343.985,11.024,10.712,555.5,0.3
A9_96_flo_media3,0.005,127.009,362.091,10.716,10.477,585.5,0.3
A10_96_flo_media4,0.006,113.056,378.002,9.584,9.473,615.5,0.36
A11_96_flo_media4,0.005,126.098,278.197,10.28,10.021,525.5,0.3
A12_96_flo_media4,0.006,119.414,328.694,11.228,11.041,555.5,0.36
A1_24_flo_media1,0.006,107.72,431.785,3.659,3.506,495.5,0.36
A2_24_flo_media1,0.006,117.433,379.311,3.713,3.561,461.5,0.36
A3_24_flo_media1,0.006,107.468,398.328,3.674,3.537,495.5,0.36
A4_24_flo_media2,0.008,89.444,301.804,4.282,4.175,401.5,0.48
A5_24_flo_media2,0.007,96.356,276.86,4.794,4.674,401.5,0.42
A6_24_flo_media2,0.008,90.396,289.124,4.909,4.786,401.5,0.48
B1_24_flo_media3,0.01,72.449,292.478,4.475,4.388,371.5,0.6
B2_24_flo_media3,0.008,84.314,258.805,4.704,4.611,371.5,0.48
B3_24_flo_media3,0.008,86.283,248.171,4.7,4.605,371.5,0.48
B4_24_flo_media4,0.009,78.175,138.56,4.133,4.071,281.5,0.54
B5_24_flo_media4,0.009,78.908,149.763,4.431,4.364,311.5,0.54
B6_24_flo_media4,0.009,80.454,159.394,4.965,4.879,311.5,0.54
A1_96_man_media1,0.003,216.675,3040.205,6.043,5.861,3461.75,0.18
A2_96_man_media1,0.003,234.075,2995.697,6.185,6.056,3611.75,0.18
A3_96_man_media1,0.004,183.075,3191.328,6.056,5.909,3521.75,0.24
A4_96_man_media2,0.004,162.759,97.142,10.874,10.762,589.5,0.24
A5_96_man_media2,0.004,179.612,111.077,9.143,9.016,709.5,0.24
A6_96_man_media2,0.004,157.354,127.524,10.867,10.719,499.5,0.24
A7_96_man_media3,0.004,184.256,149.633,7.383,7.27,589.5,0.24
A8_96_man_media3,0.004,170.612,195.467,7.691,7.595,679.5,0.24
A9_96_man_media3,0.005,153.81,271.571,8.168,8.082,679.5,0.3
A10_96_man_media4,0.005,151.447,154.067,8.406,8.282,619.5,0.3
A11_96_man_media4,0.005,137.872,154.243,7.835,7.771,619.5,0.3
A12_96_man_media4,0.005,148.735,245.287,11.051,10.898,709.5,0.3
B1_96_man_media1,0.003,250.937,2979.938,6.1,5.992,3821.75,0.18
B2_96_man_media1,0.006,107.573,3161.411,5.246,5.109,3281.75,0.36
B3_96_man_media1,0.003,230.068,2865.966,5.505,5.385,3371.75,0.18
B4_96_man_media2,0.004,171.395,129.247,9.977,9.853,739.5,0.24
B5_96_man_media2,0.004,158.294,139.383,10.452,10.321,589.5,0.24
B6_96_man_media2,0.005,143.989,218.095,10.127,10.04,649.5,0.3
B7_96_man_media3,0.004,189.533,193.346,7.914,7.828,739.5,0.24
B8_96_man_media3,0.004,174.304,202.759,8.099,8.025,709.5,0.24
B9_96_man_media3,0.004,162.044,316.692,8.814,8.734,739.5,0.24
B10_96_man_media4,0.006,116.472,356.096,10.175,10.07,679.5,0.36
B11_96_man_media4,0.005,134.133,296.315,9.999,9.871,649.5,0.3
B12_96_man_media4,0.006,116.486,330.734,9.606,9.528,679.5,0.36
C1_96_man_media1,0.004,161.177,2908.656,5.319,5.194,3281.75,0.24
C2_96_man_media1,0.008,87.683,3057.296,4.846,4.742,3161.75,0.48
C3_96_man_media1,0.003,204.68,3008.108,5.313,5.201,3491.75,0.18
C4_96_man_media2,0.005,144.476,145.615,10.999,10.895,619.5,0.3
C5_96_man_media2,0.005,137.368,199.32,11.187,11.084,619.5,0.3
C6_96_man_media2,0.005,137.139,186.263,10.412,10.329,649.5,0.3
C7_96_man_media3,0.005,153.541,260.692,8.843,8.778,709.5,0.3
C8_96_man_media3,0.005,150.537,259.057,9.557,9.453,649.5,0.3
C9_96_man_media3,0.004,168.682,224.923,10.519,10.406,649.5,0.24
C10_96_man_media4,0.005,153.261,225.816,9.875,9.763,709.5,0.3
C11_96_man_media4,0.006,117.459,318.731,9.945,9.852,679.5,0.36
C12_96_man_media4,0.006,122.139,273.234,10.374,10.267,649.5,0.36
A1_24_man_media1,0.002,290.76,2563.785,4.391,4.236,2951.75,0.12
A2_24_man_media1,0.002,346.414,2598.597,4.58,4.376,2951.75,0.12
A3_24_man_media1,0.002,352.037,2547.511,4.508,4.305,2921.75,0.12
A4_24_man_media2,0.006,107.336,162.666,6.653,6.53,319.5,0.36
A5_24_man_media2,0.007,97.16,158.488,6.702,6.607,319.5,0.42
A6_24_man_media2,0.007,94.982,161.96,8.08,7.995,319.5,0.42
B1_24_man_media3,0.007,101.053,277.61,4.265,4.151,409.5,0.42
B2_24_man_media3,0.006,106.696,271.555,4.399,4.266,409.5,0.36
B3_24_man_media3,0.007,106.616,276.001,4.545,4.414,409.5,0.42
B4_24_man_media4,0.007,100.265,164.28,5.745,5.632,319.5,0.42
B5_24_man_media4,0.007,94.32,172.017,5.726,5.639,349.25,0.42
B6_24_man_media4,0.008,89.01,163.97,5.884,5.81,319.5,0.48
